clave,escuela
3,COBAES 3(PROFRA. VELINA LEON )
4,COBAES 4(PROFR. VICTOR M. RUB)
5,COBAES 5(PROFRA. FCA. GUERRER)
6,COBAES 6(ING.JOSE HERNANDEZ T)
7,COBAES 7(GRAÑ. PABLO MACIAS V)
8,COBAES 8(PROFR. JOSE RENTERIA)
9,COBAES 9(GRAL. BENJAMIN HILL)
10,COBAES 10(ING. FEDERICO DELGA)
11,COBAES 11(LIC.ALEJANDRO RIOS )
12,COBAES 12(PROFR. JOSE SANTOS )
13,COBAES 13(LIC.EUSTAQUIO BUELN)
14,COBAES 14(PROFRA.IGNACIA ARRA)
15,COBAES 15(LIC. JOSE G. HEREDIA)
16,COBAES 16(PROFR. CIPRIANO OBE)
17,COBAES 17(PROFR. GABRIEL LEYV)
18,COBAES 18(LIC.HECTOR R.OLEA C)
19,COBAES 19(GRAL. RAFAEL BUELNA)
20,COBAES 20(PROFR.JESUS M. IBAR)
21,COBAES 21(DR. GENARO SALAZAR )
22,COBAES 22(PROFR.MIGUEL CRISTO)
23,COBAES 23(PROFRA.MA.T. DORAME)
24,COBAES 24(GRAL. EMILIANO ZAPA)
25,COBAES 25(GRAL.SALVADOR ALVAR)
26,COBAES 26(GRAL. ANGEL FLORES)
27,COBAES 27(LIC.RODOLFO MONJARA)
28,COBAES 28(DR.FERNANDO URIARTE)
29,COBAES 29(PROFRA.AGUSTINA ACH)
30,COBAES 30(ING. JUAN DE DIOS B)
31,COBAES 31(PROFRA.IRMA GARMEND)
32,COBAES 32(PROFR. HIGINIO G. M)
33,COBAES 33(DR. RIGOBERTO AGUIL)
34,COBAES 34(NICOLAS T. BERNAL)
35,COBAES 35(IGNACIO RAMIREZ)
36,COBAES 36(JOSE C.VALADEZ ROCH)
37,COBAES 37(GENARO ESTRADA FELIX
38,COBAES 38/LIC.MARCO A. ARROYO)
39,COBAES 39(PROFR. JOSE ROMERO )
40,COBAES 40(LIC.CLEMENTE VIZCAR)
41,COBAES 41(PABLO DE VILLAVICEN)
42,COBAES 42(SEVERIANO M. MORENO)
43,COBAES 43(PROFR. MIGUEL CASTI)
44,COBAES 44(PROFRA.ENRIQUETA CA)
47,COBAES 47(PROFR.MIGUEL CASTRO)
45,COBAES 45(PROFR.ALEJANDRO CAL)
46,COBAES 46(GRAL. ANTONIO ROSAS)
48,COBAES 48(AGUSTINA RAMIREZ)
49,COBAES 49(GRAL.TEOFILO ALVARE)
50,COBAES 50(GRAL.GABRIEL LEYVA )
51,COBAES 51(GRAL. TEOFILO NORIS)
53,COBAES 53(PROFRA. FCA. LOPEZ )
54,COBAES 54(PROFR.JESUS LLAMAS )
57,COBAES 57(PROFR. IGNACIO MART)
58,COBAES 58(ING.HERIBERTO VALDE)
64,COBAES 64(PROFRA.EVANGELINA F)
72,COBAES 72 (EMSAD S.JOSE D LLANO)
75,COBAES 75(TAMIAPA)
74,COBAES 74(SOR JUANA INES DE LA
80,COBAES 80(DE OCCIDENTE)
55,COBAES 55(LIC.RAUL CERVANTES )
76,COBAES 76(HERMES GONZALEZ MAL)
56,COBAES 56(GRAL. MACARIO GAXIO)
60,COBAES 60(PROFRA.JESUSITA NE)
61,COBAES 61(PROFR.ENRIQUE FELIX)
62,COBAES 62(DR.ALBINO GARCIA P)
63,COBAES 63(PROFRA.EMILIA OBESO)
70,CONALEP I (JUAN DE DIOS BATIZ- CULIACAN)
71,CONALEP   (CULIACAN II)
73,LICEO COLHUACAN
77,COLEGIO DEL VALLE A.C.
78,INSTITUTO NORAY S.C.
79,COLEGIO CULIACAN
81,INST.DE ESTUDIOS SUP.VIZCAYA P
82,UNIV. CATOLICA DE CULIACAN A.C
83,INSTITUTO WINDSOR S.C.
84,PREPARATORIA RAFAEL RAMIREZ
85,COLEGIO AZTLAN
86,CENTRO DE CAPACIT. EMPRES. A.C
87,PREPARATORIA CERVANTES
88,CENTRO EDUCATIVO DE DES.INTEG.
89,INSTITUTO SIGLO XXI S.C.
90,COLEGIO RENOVACION
91,ITESM CAMPUS SINALOA
92,INSTITUTO CHAPULTEPEC
93,INSTITUTO TECNOLOGICO DE MEXICALI
94,COLEGIO MONTFERRANT
95,COBAC
96,PREP. CETEC DE CULIACAN
97,INSTITUTO AMERICA
98,COLEGIO SINALOA
99,COLEGIO ESPERANZA DE CULIACAN
100,C.E.T. DEL MAR(AHOME)
101,C.E.T. DEL MAR(ESCUINAPA)
102,C.E.T. DEL MAR(MAZATLAN)
103,C.E.T. DEL MAR 28(ALTATA)
104,C.B.T.I.S. 68
105,C.B.T.I.S. 43
106,C.E.T.I.S. 127
107,C.B.T.I.S. 224
108,C.B.T.I.S 152
109,C.B.T.I.S 108
110,C.B.T.I.S. 127
111,C.B.T.I.S. 51
112,C.B.T.I.S. 45
113,C.B.T.A. 116
114,C.B.T.A. 81
115,C.B.T.A. 25
116,C.B.T.A. 133
117,UAS (DR. SALVADOR ALLENDE)
118,UAS (CENTRAL DIURNA)
119,UAS (CENT. VESP. FLORES MAGON)
120,UAS (CENTRAL NOCTURNA)
121,UAS (EMILIANO ZAPATA)
122,UAS (VICTORIA DEL PUEBLO)
123,UAS (AUGUSTO CESAR SANDINO)
124,UAS (RAFAEL BUELNA TENORIO)
125,UAS (8 DE JULIO EL TAMARINDO)
126,UAS (GENARO VAZQUEZ LA PALMA)
127,UAS (NAVOLATO)
128,UAS (VLADIMIR I. LENIN)
129,UAS (CARLOS MARX) COSTA RICA
130,UAS (HERACLIO BERNAL)
131,UAS (LA CRUZ)
132,UAS (CHOIX)
133,UAS (JUAN JOSE RIOS)
134,UAS (MOCHIS)
135,UAS (RUIZ CORTINEZ)
136,SEC. ANTONIO NAKAYAMA
137,UAS (VALLE DEL CARRIZO)
138,UAS
139,UAS (EL FUERTE)
140,UAS (GUASAVE NOCTURNA)
141,UAS (LAZARO CARDENAS MOCORITO)
142,UAS (LA REFORMA)
143,UAS (ANGOSTURA)
144,UAS (GUAMUCHIL)
145,Uas (guasave Diurna)
146,UAS (ESCUINAPA)
147,UAS (MAZATLAN DIURNA)
148,UAS (ROSALES NOCTURNA)
149,UAS (RUBEN JARAMILLO)
150,UAS(VICTOR M.TIRADO EL ROSARIO
151,UAS (CONCORDIA)
152,C.E.T.I.S. 68
153,C.E.T.I.S. 107
154,C.E.T.I.S. 108
157,"CONALEP 121 (EL ROSARIO, SIN)"
158,UAS (EL SALADO)
160,CONALEP 119
161,PREPARATORIA SINALOENSE
156,CONALEP 115 (NAVOLATO)
180,CONALEP III GVE
162,INST. CULTURAL DE OCCIDENTE
163,UAS PREP. SEMIESCOLARIZADA
168,COBAES 67 CENTRO DE EST.OCORON
164,ANTONIO ROSALES FLORES
166,UAS (2 DE OCTUBRE)
169,CONALEP 118 GVE
173,COLEGIO GUASAVE
175,ITESM CAMPUS MAZATLAN
183,PREPARATORIA POR COOPERACION (JOSE VASCONCELOS)
