clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida
28,4,1,2,Los Angeles,25006.0,"CULIACAN, SIN.",2003.0,2061.0,5
248,4,1,125,FRAC.RINCON HYA,25006.0,"CULIACAN, SIN.",2003.0,2061.0,5
260,4,1,71,El Walamo,25006.0,"CULIACAN, SIN.",2003.0,2061.0,5
261,4,1,107,4 de Marzo,25006.0,"CULIACAN, SIN.",2003.0,2051.0,4
262,4,2,2,Los Angeles,25006.0,CULIACAN,2003.0,2053.0,5
263,4,1,4,Libertad,25015.0,"CULIACAN, SIN.",2003.0,2051.0,5
264,4,1,79,El Chorizo,25006.0,"CULIACAN, SIN.",2003.0,2013.0,4
265,4,1,2,Villa del Real,25006.0,"CULIACAN, SIN.",2003.0,,3
266,4,1,2,Villa Satelite,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
267,4,2,1,Bugambilias,25006.0,"CULIACAN, SIN.",2003.0,,3
268,4,1,1,Cascadas,25006.0,CULIACAN,2003.0,2061.0,5
269,4,1,2,El Walamo,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
270,4,1,118,Emiliano Zapata,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
271,4,2,5,Rafael Buelna,25006.0,CULIACAN,2003.0,2063.0,5
272,4,1,5,Centro,25006.0,"CULIACAN, SIN.",2003.0,,3
273,4,1,78,Los Angeles,25006.0,CULIACAN,2003.0,2053.0,5
274,4,2,2,La Sirena,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
275,4,1,12,Centro,25018.0,"NAVOLATO, SIN.",2003.0,,3
276,4,1,10,Los Angeles,25011.0,"GUASAVE, SIN.",2003.0,2051.0,5
277,4,1,2,Las Granjas,25006.0,"CULIACAN, SIN.",2003.0,2061.0,5
278,4,1,39,Centro,25006.0,CULIACAN,2003.0,,3
279,4,1,1,Salvador Alvarado,25006.0,"CULIACAN, SIN.",2003.0,,3
280,4,1,1,4 de Marzo,25006.0,"CULIACAN, SIN.",2003.0,2061.0,5
281,4,1,2,Aquiles Serdan,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
282,4,1,117,,25006.0,"COSALA, SIN.",2003.0,2081.0,5
283,4,1,83,,25006.0,AHOME,2003.0,2051.0,5
284,4,1,117,Emiliano Zapata,25006.0,CULIACAN,2003.0,2051.0,5
285,4,1,16,4 de Marzo,25006.0,CULIACAN,2003.0,,3
286,4,1,121,Villa Satelite,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
287,4,1,121,Fovissste Playa Azul,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
288,4,2,4,,25015.0,SALVADOR ALVARA,2003.0,2051.0,5
289,4,1,2,Villa del Real,25006.0,"CULIACAN, SIN.",2003.0,2063.0,5
290,4,1,17,Santa Natalia,25006.0,"CULIACAN, SIN.",2003.0,,3
291,4,1,17,Nuevo Culiacan,25006.0,"CULIACAN, SIN.",2003.0,,3
292,4,1,9,Alcanfores,25018.0,"NAVOLATO, SIN.",2003.0,2051.0,5
293,4,1,9,CALDERON,25018.0,"NAVOLATO, SIN.",2003.0,2061.0,5
294,4,1,3,Humaya,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
295,4,2,2,Centro,25006.0,V.ANGEL F. NAV.,2003.0,2051.0,5
296,4,1,3,Los Angeles,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
297,4,1,41,Las Mañanitas,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
298,4,1,30,Centro,25006.0,"CULIACAN, SIN",2003.0,2003.0,4
299,4,1,1,Los Angeles,25006.0,"CULIACAN, SIN.",2003.0,2061.0,5
300,4,1,25,Centro,25011.0,"CULIACAN, SIN.",2003.0,2053.0,5
301,4,1,190,Centro,25006.0,"COSTA RICA,CLN.",2003.0,2051.0,5
302,4,1,26,Stase,25006.0,CULIACAN,2003.0,2053.0,5
303,4,1,2,Rafael Buelna,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
305,4,1,12,BARIOMETO,25018.0,"NAVOLATO, SIN.",2003.0,2053.0,5
306,4,1,51,Universidad 94,25006.0,CULIACAN,2003.0,2053.0,5
308,4,2,2,Stanza Solare,25006.0,CULIACAN,2003.0,2051.0,5
309,4,2,3,Fovissste Playa Azul,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
310,4,1,108,Libertad,25006.0,CULIACAN,2003.0,,3
311,4,1,2,La Higueras,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
312,4,1,20,Potreritos,25013.0,"MOCORITO, SIN.",2003.0,2051.0,5
313,4,1,36,Fresno,25011.0,"GUASAVE, SIN.",2003.0,2053.0,5
314,4,1,153,La Higueras,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
315,4,1,127,Nayarit,25018.0,NAVOLATO,2003.0,2051.0,5
316,4,1,98,Los Angeles,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
317,4,1,9,GENARO CALDERON,25018.0,"NAVOLATO,CLN.S.",2003.0,2033.0,4
318,4,1,112,Industrial Bravo,25015.0,"CULIACAN, SIN.",2003.0,2051.0,5
319,4,1,11,,25001.0,PUEBLOS UNIDOS,2003.0,2061.0,5
320,4,1,102,Industrial El Palmito,25006.0,"CULIACAN, SIN.",2003.0,,3
321,4,1,41,Montserrat,25006.0,CULIACAN,2003.0,2051.0,4
322,4,1,38,Guadalupe,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
323,4,1,44,Cascadas,25006.0,"CULIACAN, SIN.",2003.0,2061.0,5
324,4,1,2,Gustavo Diaz Ordaz,25006.0,"CULIACAN, SIN.",2003.0,2081.0,5
325,4,1,14,MAQUIPO,25011.0,SIN.DE LEYVA,2003.0,2051.0,5
326,4,1,2,La Higueras,25006.0,"CULIACAN, SIN.",2003.0,,3
327,4,1,107,Antonio Bonifant,25006.0,"NAVOLATO, SIN.",2003.0,2051.0,5
328,4,1,153,Las Granjas,25006.0,"CULIACAN, SIN.",2003.0,2051.0,5
329,4,1,107,Centro,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
330,4,1,22,Insurgentes,25015.0,SALV.ALVARADO,2003.0,2011.0,4
331,4,1,2,Priv Lomas del Bosque,25006.0,"CULIACAN, SIN.",2003.0,2053.0,5
